utterance_id,audio_path,language,speaker_id,gender,transcription,duration_sec,noise_level_db,collection_source,quality_flag,lang_warning
utt_0026,s3://india-speaks/raw/gu/utt_0026.wav,ur,d9f598ce,F,ho hai swagat ho kaise swagat,1.17,31.91,crowdsourced,-1,Detected:it
utt_0027,s3://india-speaks/raw/pa/utt_0027.wav,en,c4fd46bc,F,naam aapka aapka ho kaise naam mera,1.82,48.17,studio,0,Detected:nl
utt_0028,s3://india-speaks/raw/kn/utt_0028.wav,ta,4c24f7fb,F,ho ho kaise mera hai namaste ho hai namaste,4.04,32.16,call-center,0,Detected:it
utt_0029,s3://india-speaks/raw/ml/utt_0029.wav,pa,435b96cc,Other,se mera hai se hu aapka namaste,0.72,46.65,call-center,0,Detected:pt
utt_0031,s3://india-speaks/raw/ml/utt_0031.wav,ml,a9fdb130,M,hai hai dilli dilli se swagat,1.86,34.03,crowdsourced,1,Detected:it
utt_0032,s3://india-speaks/raw/en/utt_0032.wav,bn,2a91bcb9,F,hu dilli dilli aaya namaste,4.66,31.5,call-center,-1,Detected:en
utt_0033,s3://india-speaks/raw/mr/utt_0033.wav,en,9dbb4b2e,F,se ho ho naam hai mera mera dilli,0.67,23.88,studio,1,Detected:it
utt_0034,s3://india-speaks/raw/ur/utt_0034.wav,ur,e2ffd6c0,Other,swagat dilli swagat hai naam naam mera se kaise,3.42,41.4,studio,-1,Detected:nl
utt_0035,s3://india-speaks/raw/ur/utt_0035.wav,kn,d29002fc,Other,ho hu ho ho aaya namaste,2.02,23.56,crowdsourced,1,Detected:it
utt_0036,s3://india-speaks/raw/mr/utt_0036.wav,en,01235097,M,hai dilli mera hai kaise,4.58,22.61,studio,0,Detected:it
utt_0037,s3://india-speaks/raw/hi/utt_0037.wav,mr,cefdeedc,Other,hai ho se mera kaise namaste se aaya aapka,4.1,51.82,call-center,1,Detected:pt
utt_0038,s3://india-speaks/raw/ta/utt_0038.wav,en,db0ffb49,M,naam se aaya naam ho kaise hu namaste,4.84,21.73,call-center,1,Detected:nl
utt_0039,s3://india-speaks/raw/gu/utt_0039.wav,ml,0ec88c08,Other,aapka naam ho aaya aapka aapka naam namaste hai mera,1.62,32.84,call-center,-1,Detected:nl
utt_0040,s3://india-speaks/raw/ml/utt_0040.wav,bn,c3c47704,M,aaya ho swagat hai,2.43,54.26,call-center,-1,Detected:it
utt_0041,s3://india-speaks/raw/ta/utt_0041.wav,ta,33c7dbae,M,namaste mera swagat aaya ho swagat aapka mera mera namaste,2.97,58.58,studio,0,Detected:en
utt_0042,s3://india-speaks/raw/ur/utt_0042.wav,ta,370c5b63,Other,aapka swagat ho dilli mera naam,2.87,21.27,studio,1,Detected:nl
utt_0043,s3://india-speaks/raw/ur/utt_0043.wav,pa,55a241d5,M,mera hai hai namaste aapka namaste,1.28,32.5,studio,-1,Detected:it
utt_0044,s3://india-speaks/raw/en/utt_0044.wav,ml,22dc72b9,Other,mera aaya aaya ho naam dilli,2.52,32.35,crowdsourced,-1,Detected:en
utt_0045,s3://india-speaks/raw/ml/utt_0045.wav,pa,5d6d3068,F,kaise se se ho se aaya ho swagat hai ho,3.65,22.21,crowdsourced,0,Detected:it
utt_0046,s3://india-speaks/raw/hi/utt_0046.wav,kn,8cb7d330,F,dilli aapka dilli namaste aaya,3.5,32.05,crowdsourced,0,Detected:en
utt_0047,s3://india-speaks/raw/ml/utt_0047.wav,en,585ca2b4,Other,hai namaste dilli aaya aaya ho dilli,4.91,38.21,crowdsourced,0,Detected:it
utt_0048,s3://india-speaks/raw/kn/utt_0048.wav,ta,4e99041e,F,namaste aapka dilli kaise ho hai mera mera,3.13,59.89,crowdsourced,1,Detected:pt
utt_0049,s3://india-speaks/raw/te/utt_0049.wav,pa,0debcc11,F,kaise dilli aaya ho namaste aapka aaya kaise dilli mera,1.81,34.63,crowdsourced,1,Detected:en
utt_0050,s3://india-speaks/raw/hi/utt_0050.wav,ur,63174381,Other,dilli ho mera hai swagat se,4.96,36.93,call-center,-1,Detected:it
utt_0051,s3://india-speaks/raw/mr/utt_0051.wav,mr,50cde161,Other,hai mera ho aapka dilli,2.39,31.75,studio,-1,Detected:it
utt_0052,s3://india-speaks/raw/gu/utt_0052.wav,kn,1902ab2c,Other,ho swagat dilli aaya mera,2.92,40.27,studio,0,Detected:it
utt_0053,s3://india-speaks/raw/kn/utt_0053.wav,kn,8c4c243f,F,se se hai,4.46,29.11,studio,0,Detected:it
utt_0054,s3://india-speaks/raw/hi/utt_0054.wav,pa,89ac5bde,M,ho kaise namaste namaste,0.55,49.2,crowdsourced,1,Detected:fi
utt_0055,s3://india-speaks/raw/kn/utt_0055.wav,kn,07633c47,Other,hu kaise hai aapka ho hu,2.18,26.74,crowdsourced,1,Detected:it
utt_0056,s3://india-speaks/raw/gu/utt_0056.wav,kn,45eb2662,Other,hai namaste hu aapka se hai,1.94,31.65,studio,0,Detected:it
utt_0057,s3://india-speaks/raw/gu/utt_0057.wav,ml,54c85161,F,ho aapka kaise,3.29,41.89,call-center,0,Detected:fi
utt_0058,s3://india-speaks/raw/gu/utt_0058.wav,en,efdf05c3,M,hai hu ho ho hai aapka,3.3,43.53,studio,1,Detected:it
utt_0059,s3://india-speaks/raw/mr/utt_0059.wav,ml,f0b11d7d,M,ho kaise ho,0.7,27.37,call-center,1,Detected:de
utt_0060,s3://india-speaks/raw/en/utt_0060.wav,kn,de962e04,M,hai hai hai namaste,1.7,45.6,crowdsourced,-1,Detected:it
utt_0061,s3://india-speaks/raw/bn/utt_0061.wav,ur,f6d67af1,Other,hai naam hu aapka mera hu aaya swagat hu,4.66,31.56,studio,1,Detected:en
utt_0062,s3://india-speaks/raw/te/utt_0062.wav,te,f0c20cfe,F,hai hu dilli kaise hai aaya kaise aaya mera,1.79,51.66,crowdsourced,1,Detected:en
utt_0063,s3://india-speaks/raw/ta/utt_0063.wav,ur,57ae04fe,F,kaise hai hai naam hu hai hai aaya kaise dilli,1.24,51.05,crowdsourced,0,Detected:it
utt_0064,s3://india-speaks/raw/gu/utt_0064.wav,pa,5bfe7b75,F,namaste kaise hai aapka,2.64,53.83,call-center,-1,Detected:fi
utt_0065,s3://india-speaks/raw/mr/utt_0065.wav,te,33dcc8ef,F,hai dilli hu,3.5,40.64,studio,0,Detected:it
utt_0066,s3://india-speaks/raw/kn/utt_0066.wav,ml,89ceb304,F,aapka kaise se namaste se ho se dilli,0.58,23.19,call-center,-1,Detected:fi
utt_0067,s3://india-speaks/raw/gu/utt_0067.wav,pa,f69cc07b,M,kaise swagat namaste aaya hu se dilli swagat,3.5,25.98,call-center,-1,Detected:et
utt_0068,s3://india-speaks/raw/ml/utt_0068.wav,gu,62eb0e9d,M,swagat hai namaste mera hu namaste hu hu,4.58,44.62,call-center,-1,Detected:hu
utt_0069,s3://india-speaks/raw/ur/utt_0069.wav,kn,bd5f646e,M,naam se hu hai aapka,0.91,23.47,crowdsourced,0,Detected:nl
utt_0070,s3://india-speaks/raw/en/utt_0070.wav,mr,c3d31520,M,swagat swagat ho naam hai naam hu,4.2,59.39,crowdsourced,-1,Detected:nl
utt_0071,s3://india-speaks/raw/bn/utt_0071.wav,mr,cf235cd0,Other,aapka hu ho swagat ho mera dilli dilli se se,3.37,35.62,crowdsourced,1,Detected:pt
utt_0073,s3://india-speaks/raw/mr/utt_0073.wav,hi,73613854,M,dilli aaya naam aapka,4.17,32.41,call-center,-1,Detected:nl
utt_0074,s3://india-speaks/raw/te/utt_0074.wav,hi,94f73c78,Other,kaise hai hai naam mera kaise dilli,4.02,42.36,studio,0,Detected:fi
utt_0075,s3://india-speaks/raw/ml/utt_0075.wav,gu,8ec7670f,Other,namaste aaya dilli kaise ho ho,1.21,40.96,studio,-1,Detected:it
utt_0076,s3://india-speaks/raw/mr/utt_0076.wav,ur,9bd227ff,Other,kaise kaise hu namaste aaya hu aapka hu,1.15,29.64,crowdsourced,-1,Detected:fi
utt_0077,s3://india-speaks/raw/pa/utt_0077.wav,hi,ed1d0c80,Other,hu se dilli kaise dilli hai kaise namaste ho,3.87,47.62,crowdsourced,0,Detected:fi
utt_0078,s3://india-speaks/raw/kn/utt_0078.wav,pa,3524e395,Other,hai namaste se hai hai dilli,4.6,38.2,call-center,0,Detected:it
utt_0079,s3://india-speaks/raw/hi/utt_0079.wav,ta,1592d17c,Other,naam hu aapka hai naam hai swagat,4.86,33.27,call-center,-1,Detected:nl
utt_0080,s3://india-speaks/raw/pa/utt_0080.wav,gu,e103d560,Other,hai aaya ho naam,4.75,20.08,call-center,-1,Detected:it
utt_0081,s3://india-speaks/raw/ta/utt_0081.wav,hi,ebcb3cb5,Other,aaya swagat ho hai mera mera,1.37,45.44,studio,0,Detected:it
utt_0082,s3://india-speaks/raw/bn/utt_0082.wav,gu,aea97aa4,M,dilli dilli hu aaya aapka naam se,4.75,51.74,crowdsourced,1,Detected:nl
utt_0083,s3://india-speaks/raw/gu/utt_0083.wav,te,828379d4,F,dilli hu ho kaise hu se namaste,2.3,50.56,crowdsourced,-1,Detected:hu
utt_0084,s3://india-speaks/raw/pa/utt_0084.wav,te,59eb8a63,F,mera hai dilli swagat kaise dilli swagat swagat hu,1.75,50.32,call-center,0,Detected:en
utt_0085,s3://india-speaks/raw/ml/utt_0085.wav,kn,c7edef0f,M,swagat namaste swagat dilli hai aaya,2.5,32.38,crowdsourced,-1,Detected:en
utt_0086,s3://india-speaks/raw/ta/utt_0086.wav,hi,90258c5e,M,aaya swagat hai kaise,3.38,50.16,call-center,1,Detected:en
utt_0087,s3://india-speaks/raw/pa/utt_0087.wav,gu,c6a85e82,M,namaste hai mera dilli namaste hai hu hai,4.27,59.27,crowdsourced,-1,Detected:it
utt_0088,s3://india-speaks/raw/ur/utt_0088.wav,pa,b5fddedc,M,aapka mera namaste,4.96,29.18,crowdsourced,-1,Detected:en
utt_0089,s3://india-speaks/raw/hi/utt_0089.wav,pa,a07ec34c,F,hu mera kaise ho kaise aaya hu,2.86,24.06,crowdsourced,-1,Detected:hu
utt_0090,s3://india-speaks/raw/ta/utt_0090.wav,pa,49731435,F,hai kaise namaste kaise kaise aapka ho dilli,3.38,23.85,studio,-1,Detected:fi
utt_0091,s3://india-speaks/raw/te/utt_0091.wav,ur,bc8731b9,F,namaste aapka mera hu dilli,3.78,31.15,studio,1,Detected:en
utt_0092,s3://india-speaks/raw/te/utt_0092.wav,ur,608e3b2f,Other,hai hai mera ho swagat hu hu se namaste kaise,3.35,53.51,call-center,-1,Detected:it
utt_0094,s3://india-speaks/raw/te/utt_0094.wav,bn,9d9f05a6,M,hai hai mera dilli se kaise hu hu,1.24,37.4,studio,0,Detected:it
utt_0095,s3://india-speaks/raw/hi/utt_0095.wav,hi,81cfc7d6,F,dilli hai swagat aapka,4.03,35.1,studio,0,Detected:pt
utt_0096,s3://india-speaks/raw/mr/utt_0096.wav,mr,ec6c8223,Other,aapka se hai,2.56,31.8,studio,-1,Detected:pt
utt_0097,s3://india-speaks/raw/hi/utt_0097.wav,kn,a32fd682,Other,swagat ho aapka hai hai swagat dilli hai aapka ho,3.33,54.49,crowdsourced,1,Detected:it
utt_0098,s3://india-speaks/raw/kn/utt_0098.wav,ta,010e838c,F,hu kaise kaise hai dilli,1.33,41.76,studio,0,Detected:fi
utt_0099,s3://india-speaks/raw/te/utt_0099.wav,ta,ae83419a,M,hai aaya hai mera,2.62,31.31,call-center,-1,Detected:it
utt_0100,s3://india-speaks/raw/gu/utt_0100.wav,gu,bfa68306,Other,aaya hu dilli naam hai kaise dilli dilli,3.5,23.6,studio,1,Detected:en
utt_0101,s3://india-speaks/raw/kn/utt_0101.wav,kn,a3ee31ae,F,se swagat aapka aapka aapka dilli hu dilli aapka,2.25,53.11,call-center,0,Detected:en
utt_0102,s3://india-speaks/raw/mr/utt_0102.wav,ur,38f62992,M,hu naam namaste namaste mera aaya hu kaise,3.44,38.01,studio,0,Detected:nl
utt_0103,s3://india-speaks/raw/pa/utt_0103.wav,te,3f16e836,Other,mera naam swagat ho mera,1.74,38.78,crowdsourced,-1,Detected:nl
utt_0104,s3://india-speaks/raw/ml/utt_0104.wav,te,4e3511a2,M,se hai swagat hai aapka,1.14,58.76,call-center,1,Detected:it
utt_0105,s3://india-speaks/raw/en/utt_0105.wav,gu,d8d4887b,M,naam kaise hu,3.92,57.13,crowdsourced,1,Detected:nl
utt_0106,s3://india-speaks/raw/bn/utt_0106.wav,gu,0a356c94,M,hai swagat hai hu namaste se aapka dilli aaya hu,0.74,39.63,call-center,1,Detected:it
utt_0107,s3://india-speaks/raw/en/utt_0107.wav,bn,1fa7a6b8,Other,hu se aaya,4.25,38.96,crowdsourced,1,Detected:hu
utt_0108,s3://india-speaks/raw/hi/utt_0108.wav,ur,2327e078,M,hu hai aaya hu naam kaise hai,2.07,59.05,studio,-1,Detected:en
utt_0109,s3://india-speaks/raw/te/utt_0109.wav,ml,6a06da33,Other,ho mera hai dilli swagat aaya ho aapka dilli,3.31,43.66,call-center,0,Detected:it
utt_0110,s3://india-speaks/raw/kn/utt_0110.wav,ur,af7a75da,M,aaya dilli ho,0.83,34.91,call-center,1,Detected:it
utt_0111,s3://india-speaks/raw/mr/utt_0111.wav,te,aa2084d6,F,ho mera aaya swagat se,3.23,26.05,call-center,0,Detected:it
utt_0112,s3://india-speaks/raw/ur/utt_0112.wav,bn,bbb62b6f,M,kaise aaya aapka,1.57,49.68,call-center,0,Detected:fi
utt_0113,s3://india-speaks/raw/mr/utt_0113.wav,kn,ac92b42e,M,kaise hu hai swagat namaste,3.09,41.18,call-center,1,Detected:it
utt_0114,s3://india-speaks/raw/ta/utt_0114.wav,mr,8de73438,M,swagat namaste hu hai naam hu hai ho namaste hai,4.42,45.76,call-center,0,Detected:it
utt_0115,s3://india-speaks/raw/mr/utt_0115.wav,ta,b921e648,M,hai kaise hai se hai,2.14,58.1,call-center,-1,Detected:it
utt_0116,s3://india-speaks/raw/ur/utt_0116.wav,mr,de20398f,F,hai hai kaise aapka aapka mera hai mera namaste,3.69,47.04,call-center,1,Detected:it
utt_0117,s3://india-speaks/raw/pa/utt_0117.wav,ur,78a4ddcb,Other,hai dilli se swagat mera hai ho naam aapka namaste,1.57,56.93,crowdsourced,1,Detected:it
utt_0118,s3://india-speaks/raw/kn/utt_0118.wav,bn,f2b540c4,M,ho dilli ho se se,4.26,51.11,crowdsourced,0,Detected:it
utt_0119,s3://india-speaks/raw/kn/utt_0119.wav,ur,9acf893b,M,mera naam dilli se,3.53,47.56,crowdsourced,-1,Detected:nl
utt_0120,s3://india-speaks/raw/ta/utt_0120.wav,en,ec8180ce,M,hu aaya swagat naam swagat naam,0.83,30.34,studio,1,Detected:nl
utt_0121,s3://india-speaks/raw/gu/utt_0121.wav,gu,13f7c46a,F,namaste naam hai aapka,3.89,58.28,crowdsourced,-1,Detected:nl
utt_0122,s3://india-speaks/raw/bn/utt_0122.wav,hi,c38c41f8,F,aapka aapka hai,2.27,37.75,studio,0,Detected:en
utt_0123,s3://india-speaks/raw/gu/utt_0123.wav,ur,58638984,M,ho hu namaste hai hu,2.05,21.42,call-center,1,Detected:it
utt_0124,s3://india-speaks/raw/hi/utt_0124.wav,ml,cbbab2a1,M,hai ho naam dilli mera hu kaise,4.77,43.76,studio,-1,Detected:nl
utt_0125,s3://india-speaks/raw/ml/utt_0125.wav,bn,f59cb9c4,M,hai hai namaste namaste aapka aaya,0.61,54.22,studio,1,Detected:it
utt_0126,s3://india-speaks/raw/hi/utt_0126.wav,hi,c94194de,M,naam swagat kaise aapka hai,4.91,54.84,crowdsourced,0,Detected:nl
utt_0127,s3://india-speaks/raw/ta/utt_0127.wav,kn,72814b36,Other,hai hai swagat ho hu hai hu,4.05,44.15,call-center,1,Detected:it
utt_0128,s3://india-speaks/raw/ur/utt_0128.wav,kn,d7924fa3,Other,namaste dilli hu dilli swagat kaise,4.2,22.66,call-center,-1,Detected:hu
utt_0129,s3://india-speaks/raw/te/utt_0129.wav,ml,c1e427d7,Other,ho aapka hu ho namaste,3.04,44.24,call-center,1,Detected:it
utt_0130,s3://india-speaks/raw/te/utt_0130.wav,ml,4c4801e2,M,hai mera hai ho,4.57,48.04,studio,-1,Detected:it
utt_0131,s3://india-speaks/raw/en/utt_0131.wav,bn,7064bb95,F,kaise kaise hai aaya,4.46,57.22,studio,1,Detected:fi
utt_0132,s3://india-speaks/raw/te/utt_0132.wav,te,7d3d389d,M,aapka hu swagat,4.22,29.08,crowdsourced,-1,Detected:en
utt_0133,s3://india-speaks/raw/en/utt_0133.wav,en,656dc89c,F,swagat dilli hai se,0.61,58.94,crowdsourced,0,Detected:it
utt_0134,s3://india-speaks/raw/te/utt_0134.wav,ur,d737aa3e,M,dilli aaya naam naam aaya swagat hu ho,3.8,35.37,studio,1,Detected:nl
utt_0135,s3://india-speaks/raw/gu/utt_0135.wav,hi,27271315,M,mera aapka namaste mera swagat aapka kaise dilli namaste,4.36,56.23,call-center,-1,Detected:en
utt_0136,s3://india-speaks/raw/en/utt_0136.wav,en,934ad1a9,F,dilli hai naam dilli swagat hu se mera,2.5,26.93,crowdsourced,-1,Detected:nl
utt_0137,s3://india-speaks/raw/ml/utt_0137.wav,en,ff86b346,Other,mera dilli hu swagat hai aapka hai se se,3.69,22.37,call-center,-1,Detected:it
utt_0138,s3://india-speaks/raw/pa/utt_0138.wav,ml,871bd550,M,dilli hu swagat namaste,4.13,30.62,crowdsourced,-1,Detected:hu
utt_0139,s3://india-speaks/raw/hi/utt_0139.wav,hi,4827bb5e,M,se namaste hu hai hu aapka mera hai hai mera,2.92,52.62,crowdsourced,1,Detected:it
utt_0140,s3://india-speaks/raw/en/utt_0140.wav,gu,ae42f857,M,hai aaya dilli,2.97,38.85,crowdsourced,1,Detected:it
utt_0141,s3://india-speaks/raw/hi/utt_0141.wav,pa,9661dd2a,Other,hai dilli hu se aaya mera naam naam,1.77,57.35,studio,0,Detected:nl
utt_0142,s3://india-speaks/raw/mr/utt_0142.wav,hi,d843ca5b,M,swagat kaise aapka kaise namaste mera,3.04,39.78,studio,-1,Detected:fi
utt_0143,s3://india-speaks/raw/ta/utt_0143.wav,kn,e84b4246,Other,kaise hai se aaya,3.09,28.89,crowdsourced,1,Detected:it
utt_0144,s3://india-speaks/raw/en/utt_0144.wav,pa,6f644822,M,hai hai swagat dilli naam swagat hai,1.51,55.46,crowdsourced,1,Detected:it
utt_0145,s3://india-speaks/raw/ta/utt_0145.wav,ur,b8e9242c,M,hu aaya aaya,2.89,31.5,crowdsourced,-1,Detected:en
utt_0146,s3://india-speaks/raw/ur/utt_0146.wav,ta,ded589a2,Other,hai kaise kaise,3.83,28.72,call-center,1,Detected:fi
utt_0148,s3://india-speaks/raw/te/utt_0148.wav,pa,543898ea,M,ho namaste ho swagat mera,3.93,28.42,call-center,0,Detected:it
utt_0149,s3://india-speaks/raw/gu/utt_0149.wav,te,970c2cbd,M,aapka mera swagat hai swagat ho hai ho swagat,4.93,41.65,studio,0,Detected:it
utt_0150,s3://india-speaks/raw/ur/utt_0150.wav,ta,ca81d304,M,hu hai ho aapka,1.2,40.1,call-center,1,Detected:it
utt_0151,s3://india-speaks/raw/gu/utt_0151.wav,hi,be14c4f0,Other,kaise aaya swagat,2.9,34.35,studio,1,Detected:en
utt_0152,s3://india-speaks/raw/en/utt_0152.wav,en,62fd40e5,F,aapka ho kaise,3.48,31.49,crowdsourced,-1,Detected:fi
utt_0154,s3://india-speaks/raw/ml/utt_0154.wav,mr,22cb220b,F,hu hu aapka mera mera hai aapka dilli se ho,1.48,54.65,studio,-1,Detected:it
utt_0155,s3://india-speaks/raw/ml/utt_0155.wav,ur,c642854e,F,aapka hu se aapka kaise namaste hai namaste se,3.46,35.77,crowdsourced,0,Detected:fi
utt_0156,s3://india-speaks/raw/kn/utt_0156.wav,ur,da258327,M,ho hai mera,2.97,56.83,studio,0,Detected:it
utt_0157,s3://india-speaks/raw/mr/utt_0157.wav,pa,5d8a6934,Other,hai dilli swagat hai aapka hai,3.86,30.24,studio,0,Detected:it
utt_0158,s3://india-speaks/raw/gu/utt_0158.wav,bn,d080a72e,Other,swagat dilli se dilli mera swagat hu naam hai,2.21,57.01,crowdsourced,1,Detected:nl
utt_0159,s3://india-speaks/raw/te/utt_0159.wav,te,f015ca51,Other,ho hai swagat aapka namaste,2.14,20.67,call-center,0,Detected:it
utt_0160,s3://india-speaks/raw/mr/utt_0160.wav,ml,e0fb02a0,M,kaise mera dilli,4.55,23.99,call-center,-1,Detected:fi
utt_0161,s3://india-speaks/raw/gu/utt_0161.wav,gu,4c6b5c18,Other,kaise mera mera hai hai hai,3.73,31.8,crowdsourced,0,Detected:it
utt_0162,s3://india-speaks/raw/en/utt_0162.wav,ml,5c4df253,Other,dilli hai aaya swagat namaste hai kaise hai,1.51,47.61,studio,1,Detected:it
utt_0163,s3://india-speaks/raw/pa/utt_0163.wav,ta,72963bdd,M,ho hai mera kaise,3.37,22.22,studio,-1,Detected:it
utt_0164,s3://india-speaks/raw/ur/utt_0164.wav,ta,6e45f57b,M,hai se aapka,4.34,36.9,studio,-1,Detected:pt
utt_0165,s3://india-speaks/raw/ml/utt_0165.wav,kn,daaa57e9,Other,dilli naam naam hai hai naam aapka aapka,4.2,31.66,crowdsourced,1,Detected:nl
utt_0166,s3://india-speaks/raw/ur/utt_0166.wav,bn,66fdfaf5,M,namaste hu aaya se,2.2,48.93,crowdsourced,1,Detected:hu
utt_0167,s3://india-speaks/raw/bn/utt_0167.wav,mr,b6bd319d,Other,hu namaste naam kaise dilli hu swagat dilli namaste swagat,1.37,36.14,call-center,-1,Detected:nl
utt_0168,s3://india-speaks/raw/hi/utt_0168.wav,ur,6dbf3914,M,aaya dilli se naam kaise kaise hai,3.3,50.26,call-center,0,Detected:fi
utt_0169,s3://india-speaks/raw/pa/utt_0169.wav,hi,2029b69a,Other,namaste ho hu mera namaste naam dilli aapka namaste,4.07,20.76,call-center,1,Detected:nl
utt_0170,s3://india-speaks/raw/en/utt_0170.wav,pa,7c97261b,M,dilli ho hai aaya hu swagat,1.58,32.02,call-center,0,Detected:it
utt_0171,s3://india-speaks/raw/kn/utt_0171.wav,ml,498512fb,F,naam ho naam swagat namaste naam naam namaste hu,3.2,37.92,studio,1,Detected:nl
utt_0172,s3://india-speaks/raw/pa/utt_0172.wav,gu,532d1700,M,hai swagat dilli naam swagat namaste hai,4.71,24.07,crowdsourced,-1,Detected:it
utt_0174,s3://india-speaks/raw/ur/utt_0174.wav,ml,3d07fe5c,M,hu hai se hai hai se mera,4.2,34.35,call-center,0,Detected:it
utt_0176,s3://india-speaks/raw/gu/utt_0176.wav,ml,dd6e9541,M,kaise hu aaya hai aapka aaya hai hu,2.94,26.06,call-center,0,Detected:en
utt_0177,s3://india-speaks/raw/gu/utt_0177.wav,ta,21c35910,M,se swagat hu,0.51,42.75,studio,0,Detected:hu
utt_0178,s3://india-speaks/raw/en/utt_0178.wav,ta,0e886f79,Other,mera hu se,0.54,33.22,call-center,-1,Detected:hu
utt_0179,s3://india-speaks/raw/bn/utt_0179.wav,mr,69982d81,Other,dilli hai hu hai,4.04,36.02,crowdsourced,1,Detected:it
utt_0180,s3://india-speaks/raw/mr/utt_0180.wav,pa,f30542f2,F,se swagat hai naam se dilli,3.9,29.31,call-center,1,Detected:nl
utt_0181,s3://india-speaks/raw/bn/utt_0181.wav,te,332dca16,F,dilli ho aapka mera mera ho,3.06,52.71,call-center,-1,Detected:it
utt_0182,s3://india-speaks/raw/kn/utt_0182.wav,mr,3697f63d,Other,swagat mera dilli hai namaste,2.51,46.63,call-center,-1,Detected:it
utt_0183,s3://india-speaks/raw/gu/utt_0183.wav,ml,f3074d8e,Other,se hai swagat aapka ho,2.99,54.19,studio,-1,Detected:it
utt_0184,s3://india-speaks/raw/en/utt_0184.wav,en,d6e1e109,M,aapka mera dilli se naam kaise namaste se dilli,3.11,23.31,studio,0,Detected:nl
